rank,school,year,champion
8,Illinois,1994,False
9,Georgetown,1994,False
5,UCLA,1994,False
12,Tulsa,1994,False
4,Oklahoma State,1994,False
13,New Mexico State,1994,False
6,Texas,1994,False
11,Western Kentucky,1994,False
3,Michigan,1994,False
14,Pepperdine,1994,False
7,Saint Louis,1994,False
10,Maryland,1994,False
2,UMass,1994,False
15,Texas State,1994,False
1,Purdue,1994,False
16,UCF,1994,False
8,Providence,1994,False
9,Alabama,1994,False
5,Wake Forest,1994,False
12,College of Charleston,1994,False
4,Kansas,1994,False
13,Chattanooga,1994,False
6,Marquette,1994,False
11,Louisiana,1994,False
3,Kentucky,1994,False
14,Tennessee State,1994,False
7,Michigan State,1994,False
10,Seton Hall,1994,False
2,Duke,1994,False
15,Texas Southern,1994,False
1,Missouri,1994,False
16,Navy,1994,False
8,Cincinnati,1994,False
9,Wisconsin,1994,False
5,California,1994,False
12,Green Bay,1994,False
4,Syracuse,1994,False
13,Hawaii,1994,False
6,Minnesota,1994,False
11,Southern Illinois,1994,False
3,Louisville,1994,False
14,Boise State,1994,False
7,Virginia,1994,False
10,New Mexico,1994,False
2,Arizona,1994,False
15,Loyola (MD),1994,False
1,Wake Forest,1995,False
16,North Carolina A&T,1995,False
8,Minnesota,1995,False
9,Saint Louis,1995,False
5,Alabama,1995,False
12,Penn,1995,False
4,Oklahoma State,1995,False
13,Drexel,1995,False
6,Tulsa,1995,False
11,Illinois,1995,False
3,Villanova,1995,False
14,Old Dominion,1995,False
7,Charlotte,1995,False
10,Stanford,1995,False
2,UMass,1995,False
15,St. Peter's,1995,False
1,Kansas,1995,False
16,Colgate,1995,False
8,Western Kentucky,1995,False
9,Michigan,1995,False
5,Arizona,1995,False
12,Miami (OH),1995,False
4,Virginia,1995,False
13,Nicholls State,1995,False
6,Memphis,1995,False
11,Louisville,1995,False
3,Purdue,1995,False
14,Green Bay,1995,False
7,Syracuse,1995,False
10,Southern Illinois,1995,False
2,Arkansas,1995,False
15,Texas Southern,1995,False
1,Kentucky,1995,False
16,Mount St. Mary's,1995,False
8,BYU,1995,False
9,Tulane,1995,False
5,Arizona State,1995,False
12,Ball State,1995,False
4,Oklahoma,1995,False
13,Manhattan,1995,False
6,Georgetown,1995,False
11,Xavier,1995,False
3,Michigan State,1995,False
14,Weber State,1995,False
7,Iowa State,1995,False
10,Florida,1995,False
2,UNC,1995,False
15,Murray State,1995,False
1,UCLA,1995,True
16,Florida International,1995,False
8,Missouri,1995,False
9,Indiana,1995,False
5,Mississippi State,1995,False
12,Santa Clara,1995,False
4,Utah,1995,False
13,Long Beach State,1995,False
6,Oregon,1995,False
11,Texas,1995,False
3,Maryland,1995,False
14,Gonzaga,1995,False
7,Cincinnati,1995,False
10,Temple,1995,False
2,UConn,1995,False
15,Chattanooga,1995,False
1,UMass,1996,False
16,UCF,1996,False
8,Bradley,1996,False
9,Stanford,1996,False
5,Penn State,1996,False
12,Arkansas,1996,False
4,Marquette,1996,False
13,Monmouth,1996,False
6,UNC,1996,False
11,New Orleans,1996,False
3,Texas Tech,1996,False
14,Northern Illinois,1996,False
7,New Mexico,1996,False
10,Kansas State,1996,False
2,Georgetown,1996,False
15,Mississippi Valley State,1996,False
1,Kentucky,1996,True
16,San Jose State,1996,False
8,Green Bay,1996,False
9,Virginia Tech,1996,False
5,Iowa State,1996,False
12,California,1996,False
4,Utah,1996,False
13,Canisius,1996,False
6,Louisville,1996,False
11,Tulsa,1996,False
3,Villanova,1996,False
14,Portland,1996,False
7,Michigan,1996,False
10,Texas,1996,False
2,Wake Forest,1996,False
15,Louisiana-Monroe,1996,False
1,UConn,1996,False
16,Colgate,1996,False
8,Duke,1996,False
9,Eastern Michigan,1996,False
5,Mississippi State,1996,False
12,VCU,1996,False
4,UCLA,1996,False
13,Princeton,1996,False
6,Indiana,1996,False
11,Boston College,1996,False
3,Georgia Tech,1996,False
14,Austin Peay,1996,False
7,Temple,1996,False
10,Oklahoma,1996,False
2,Cincinnati,1996,False
15,UNC Greensboro,1996,False
1,Purdue,1996,False
16,Western Carolina,1996,False
8,Georgia,1996,False
9,Clemson,1996,False
5,Memphis,1996,False
12,Drexel,1996,False
4,Syracuse,1996,False
13,Montana State,1996,False
6,Iowa,1996,False
11,George Washington,1996,False
3,Arizona,1996,False
14,Valparaiso,1996,False
7,Maryland,1996,False
10,Santa Clara,1996,False
2,Kansas,1996,False
15,South Carolina State,1996,False
1,UNC,1997,False
16,Fairfield,1997,False
8,Indiana,1997,False
9,Colorado,1997,False
5,California,1997,False
12,Princeton,1997,False
4,Villanova,1997,False
13,LIU,1997,False
6,Louisville,1997,False
11,UMass,1997,False
3,New Mexico,1997,False
14,Old Dominion,1997,False
7,Wisconsin,1997,False
10,Texas,1997,False
2,South Carolina,1997,False
15,Coppin State,1997,False
1,Minnesota,1997,False
16,Texas State,1997,False
8,Ole Miss,1997,False
9,Temple,1997,False
5,Tulsa,1997,False
12,Boston University,1997,False
4,Clemson,1997,False
13,Miami (OH),1997,False
6,Iowa State,1997,False
11,Illinois State,1997,False
3,Cincinnati,1997,False
14,Butler,1997,False
7,Xavier,1997,False
10,Vanderbilt,1997,False
2,UCLA,1997,False
15,Charleston Southern,1997,False
1,Kansas,1997,False
16,Jackson State,1997,False
8,Purdue,1997,False
9,Rhode Island,1997,False
5,Maryland,1997,False
12,College of Charleston,1997,False
4,Arizona,1997,True
13,South Alabama,1997,False
6,Illinois,1997,False
11,USC,1997,False
3,Georgia,1997,False
14,Chattanooga,1997,False
7,Marquette,1997,False
10,Providence,1997,False
2,Duke,1997,False
15,Murray State,1997,False
1,Kentucky,1997,False
16,Montana,1997,False
8,Iowa,1997,False
9,Virginia,1997,False
5,Boston College,1997,False
12,Valparaiso,1997,False
4,St. Joseph's,1997,False
13,Pacific,1997,False
6,Stanford,1997,False
11,Oklahoma,1997,False
3,Wake Forest,1997,False
14,Saint Mary's,1997,False
7,Charlotte,1997,False
10,Georgetown,1997,False
2,Utah,1997,False
15,Navy,1997,False
1,UNC,1998,False
16,Navy,1998,False
8,Charlotte,1998,False
9,UIC,1998,False
5,Princeton,1998,False
12,UNLV,1998,False
4,Michigan State,1998,False
13,Eastern Michigan,1998,False
6,Xavier,1998,False
11,Washington,1998,False
3,South Carolina,1998,False
14,Richmond,1998,False
7,Indiana,1998,False
10,Oklahoma,1998,False
2,UConn,1998,False
15,FDU,1998,False
1,Kansas,1998,False
16,Prairie View,1998,False
8,Rhode Island,1998,False
9,Murray State,1998,False
5,TCU,1998,False
12,Florida State,1998,False
4,Ole Miss,1998,False
13,Valparaiso,1998,False
6,Clemson,1998,False
11,Western Michigan,1998,False
3,Stanford,1998,False
14,College of Charleston,1998,False
7,St. John's (NY),1998,False
10,Detroit Mercy,1998,False
2,Purdue,1998,False
15,Delaware,1998,False
1,Duke,1998,False
16,Radford,1998,False
8,Oklahoma State,1998,False
9,George Washington,1998,False
5,Syracuse,1998,False
12,Iona,1998,False
4,New Mexico,1998,False
13,Butler,1998,False
6,UCLA,1998,False
11,Miami (FL),1998,False
3,Michigan,1998,False
14,Davidson,1998,False
7,UMass,1998,False
10,Saint Louis,1998,False
2,Kentucky,1998,True
15,South Carolina State,1998,False
1,Arizona,1998,False
16,Nicholls State,1998,False
8,Tennessee,1998,False
9,Illinois State,1998,False
5,Illinois,1998,False
12,South Alabama,1998,False
4,Maryland,1998,False
13,Utah State,1998,False
6,Arkansas,1998,False
11,Nebraska,1998,False
3,Utah,1998,False
14,San Francisco,1998,False
7,Temple,1998,False
10,West Virginia,1998,False
2,Cincinnati,1998,False
15,Northern Arizona,1998,False
1,Duke,1999,False
16,Florida A&M,1999,False
8,College of Charleston,1999,False
9,Tulsa,1999,False
5,Wisconsin,1999,False
12,Missouri State,1999,False
4,Tennessee,1999,False
13,Delaware,1999,False
6,Temple,1999,False
11,Kent State,1999,False
3,Cincinnati,1999,False
14,George Mason,1999,False
7,Texas,1999,False
10,Purdue,1999,False
2,Miami (FL),1999,False
15,Lafayette,1999,False
1,Michigan State,1999,False
16,Mount St. Mary's,1999,False
8,Villanova,1999,False
9,Ole Miss,1999,False
5,Charlotte,1999,False
12,Rhode Island,1999,False
4,Arizona,1999,False
13,Oklahoma,1999,False
6,Kansas,1999,False
11,Evansville,1999,False
3,Kentucky,1999,False
14,New Mexico State,1999,False
7,Washington,1999,False
10,Miami (OH),1999,False
2,Utah,1999,False
15,Arkansas State,1999,False
1,Auburn,1999,False
16,Winthrop,1999,False
8,Syracuse,1999,False
9,Oklahoma State,1999,False
5,UCLA,1999,False
12,Detroit Mercy,1999,False
4,Ohio State,1999,False
13,Murray State,1999,False
6,Indiana,1999,False
11,George Washington,1999,False
3,St. John's (NY),1999,False
14,Samford,1999,False
7,Louisville,1999,False
10,Creighton,1999,False
2,Maryland,1999,False
15,Valparaiso,1999,False
1,UConn,1999,True
16,UTSA,1999,False
8,Missouri,1999,False
9,New Mexico,1999,False
5,Iowa,1999,False
12,UAB,1999,False
4,Arkansas,1999,False
13,Siena,1999,False
6,Florida,1999,False
11,Penn,1999,False
3,UNC,1999,False
14,Weber State,1999,False
7,Minnesota,1999,False
10,Gonzaga,1999,False
2,Stanford,1999,False
15,Alcorn State,1999,False
1,Duke,2000,False
16,Lamar,2000,False
8,Kansas,2000,False
9,DePaul,2000,False
5,Florida,2000,False
12,Butler,2000,False
4,Illinois,2000,False
13,Penn,2000,False
6,Indiana,2000,False
11,Pepperdine,2000,False
3,Oklahoma State,2000,False
14,Hofstra,2000,False
7,Oregon,2000,False
10,Seton Hall,2000,False
2,Temple,2000,False
15,Lafayette,2000,False
1,Michigan State,2000,True
16,Valparaiso,2000,False
8,Utah,2000,False
9,Saint Louis,2000,False
5,Kentucky,2000,False
12,St. Bonaventure,2000,False
4,Syracuse,2000,False
13,Samford,2000,False
6,UCLA,2000,False
11,Ball State,2000,False
3,Maryland,2000,False
14,Iona,2000,False
7,Auburn,2000,False
10,Creighton,2000,False
2,Iowa State,2000,False
15,Central Connecticut,2000,False
1,Stanford,2000,False
16,South Carolina State,2000,False
8,UNC,2000,False
9,Missouri,2000,False
5,UConn,2000,False
12,Utah State,2000,False
4,Tennessee,2000,False
13,Louisiana,2000,False
6,Miami (FL),2000,False
11,Arkansas,2000,False
3,Ohio State,2000,False
14,Appalachian State,2000,False
7,Tulsa,2000,False
10,UNLV,2000,False
2,Cincinnati,2000,False
15,UNC Wilmington,2000,False
1,Arizona,2000,False
16,Jackson State,2000,False
8,Wisconsin,2000,False
9,Fresno State,2000,False
5,Texas,2000,False
12,Indiana State,2000,False
4,LSU,2000,False
13,Southeast Missouri State,2000,False
6,Purdue,2000,False
11,Dayton,2000,False
3,Oklahoma,2000,False
14,Winthrop,2000,False
7,Louisville,2000,False
10,Gonzaga,2000,False
2,St. John's (NY),2000,False
15,Northern Arizona,2000,False
1,Duke,2001,True
16,Monmouth,2001,False
8,Georgia,2001,False
9,Missouri,2001,False
5,Ohio State,2001,False
12,Utah State,2001,False
4,UCLA,2001,False
13,Hofstra,2001,False
6,USC,2001,False
11,Oklahoma State,2001,False
3,Boston College,2001,False
14,Southern Utah,2001,False
7,Iowa,2001,False
10,Creighton,2001,False
2,Kentucky,2001,False
15,Holy Cross,2001,False
1,Illinois,2001,False
16,Northwestern State,2001,False
8,Tennessee,2001,False
9,Charlotte,2001,False
5,Syracuse,2001,False
12,Hawaii,2001,False
4,Kansas,2001,False
13,Cal State Northridge,2001,False
6,Notre Dame,2001,False
11,Xavier,2001,False
3,Ole Miss,2001,False
14,Iona,2001,False
7,Wake Forest,2001,False
10,Butler,2001,False
2,Arizona,2001,False
15,Eastern Illinois,2001,False
1,Michigan State,2001,False
16,Alabama State,2001,False
8,California,2001,False
9,Fresno State,2001,False
5,Virginia,2001,False
12,Gonzaga,2001,False
4,Oklahoma,2001,False
13,Indiana State,2001,False
6,Texas,2001,False
11,Temple,2001,False
3,Florida,2001,False
14,Western Kentucky,2001,False
7,Penn State,2001,False
10,Providence,2001,False
2,UNC,2001,False
15,Princeton,2001,False
