year,rank,overall_wins,overall_win_loss_percentage,conference_wins,conference_losses,own_points_per_game,simple_rating_system,ap_pre,ap_high,ap_final,conference_tournament_champion,poy,points,steals,steals per game,assists,assists per game,blocks,blocks per game,champion
1987,6,20,0.606,9,9,84.4,8.48,26,26,26,False,0,1,0,0,0,0,0,0,0
1987,2,25,0.694,9,5,73.3,7.71,8,6,20,False,0,0,0,0,0,0,0,0,0
1987,3,18,0.6,9,7,67.4,4.5,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,2,25,0.806,10,4,85.0,3.55,26,10,13,False,0,0,0,0,0,0,0,0,0
1987,1,28,0.824,13,1,69.6,-1.64,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,4,25,0.735,10,6,86.7,5.47,26,17,26,False,0,0,0,0,0,0,0,0,0
1987,3,21,0.656,10,4,74.8,4.2,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,4,23,0.742,13,5,79.8,8.66,14,5,11,False,0,0,0,0,0,0,0,0,0
1987,5,20,0.625,8,6,78.3,0.51,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,2,21,0.656,12,4,82.6,4.2,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,1,28,0.848,16,2,80.0,8.98,13,8,9,True,0,0,0,0,0,0,0,0,0
1987,3,24,0.8,12,2,74.8,-12.2,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,1,37,0.949,18,0,92.5,6.09,5,1,1,True,0,1,0,0,1,1,0,0,0
1987,6,15,0.484,5,9,66.9,0.37,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,3,18,0.6,10,8,71.7,8.91,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,4,20,0.645,8,6,77.4,7.16,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,4,21,0.677,8,6,74.2,7.77,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,4,24,0.706,11,5,70.8,3.02,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,1,25,0.781,14,4,77.9,6.87,26,11,15,True,0,0,0,0,0,0,0,0,0
1987,1,22,0.733,14,2,73.2,0.25,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,3,24,0.706,9,5,89.1,7.89,7,6,26,False,0,0,0,0,0,0,0,0,0
1987,1,22,0.733,11,3,69.8,3.14,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,2,25,0.758,12,4,83.6,7.26,16,8,12,False,0,0,0,0,0,0,0,0,0
1987,1,20,0.667,15,1,68.1,-8.23,26,26,26,True,0,0,0,0,0,0,0,0,0
1987,1,25,0.781,13,3,78.1,2.6,26,26,26,False,0,0,0,0,0,0,0,0,0
1987,2,18,0.6,13,5,74.6,6.63,19,19,26,False,0,0,0,0,0,0,0,0,0
1987,3,30,0.857,14,4,87.1,7.98,10,1,6,False,0,0,0,0,0,0,0,0,0
1987,5,18,0.563,6,8,67.7,1.86,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,1,32,0.941,18,0,76.8,2.99,12,1,1,True,0,0,0,0,1,1,0,0,0
1988,4,21,0.677,8,6,79.9,-6.25,26,26,26,True,0,1,0,0,0,0,0,0,0
1988,3,20,0.667,9,7,70.7,8.43,16,11,26,False,0,0,0,0,0,0,0,0,0
1988,4,16,0.533,10,8,70.4,9.22,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,4,22,0.688,8,6,80.0,7.43,18,13,26,False,0,0,0,0,1,1,0,0,0
1988,5,20,0.625,6,8,90.0,7.52,26,10,26,False,0,0,0,0,0,0,0,0,0
1988,5,19,0.655,11,7,78.8,9.66,6,5,26,False,0,0,0,0,0,0,0,0,0
1988,1,26,0.788,11,3,69.4,-0.11,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,4,19,0.633,7,7,86.7,9.13,8,8,26,False,0,0,0,0,0,0,0,0,0
1988,2,28,0.8,14,4,86.8,0.22,26,26,26,False,0,0,0,0,0,0,0,0,0
1988,2,26,0.743,11,5,84.4,8.55,1,1,9,True,0,0,0,0,1,0,0,0,0
1988,1,26,0.897,16,0,82.5,-11.29,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,1,28,0.8,12,4,82.3,0.47,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,3,28,0.8,9,5,83.8,8.38,15,4,5,True,0,0,0,0,0,0,0,0,0
1988,2,23,0.742,14,4,77.5,-7.04,26,26,26,True,0,0,0,0,0,0,0,0,0
1988,1,29,0.879,16,2,84.6,8.86,2,2,3,False,0,0,0,0,0,0,0,0,0
1988,1,23,0.767,13,3,76.1,-10.37,26,26,26,True,0,0,0,0,0,0,0,0,0
